,Label,Text
2654,0,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
288,0,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
1495,0,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c
994,0,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...
5367,0,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates
5371,0,"Lol, oh you got a friend for the dog ?"
4876,0,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?"
4246,0,Is toshiba portege m100 gd?
751,1,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?"
1295,0,Aiyah u did ok already lar. E nydc at wheellock?
2783,0,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you
2417,0,"Could you not read me, my Love ? I answered you"
3402,0,Thanks honey. Have a great day.
4249,1,"accordingly. I repeat, just text the word ok on your mobile phone and send"
1348,0,She doesnt need any test.
2717,0,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
4279,0,I've reached home finally...
2621,0,How come?
3435,0,Sending you greetings of joy and happiness. Do have a gr8 evening
178,0,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
444,0,"Sorry, I'll call later"
420,1,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p
126,0,"Good stuff, will do."
4362,0,"Don't Think About ""What u Have Got"" Think About ""How to Use It That You Have Got"" gooD ni8"
4647,1,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705
2709,0,"Nah, I'm a perpetual DD"
1759,0,Sorry i'm not free...
5003,0,You still around? Looking to pick up later
3432,0,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe
5031,0,Is there coming friday is leave for pongal?do you get any news from your work place.
41,0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
2348,0,But i dint slept in afternoon.
4610,0,Y de asking like this.
4330,0,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-)
48,0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
4192,0,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning"
2830,1,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.
1834,0,When should I come over?
2281,0,R ü comin back for dinner?
3793,0,Love it! I want to flood that pretty pussy with cum...
71,0,Finished class where are you.
1867,0,Or ü go buy wif him then i meet ü later can?
5148,0,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-)
4635,0,These won't do. Have to move on to morphine
1471,0,Take some small dose tablet for fever
402,0,Dear how is chechi. Did you talk to her
2896,0,Went to ganesh dress shop
2253,0,Den wat will e schedule b lk on sun?
2206,0,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
2091,0,S:-)kallis wont play in first two odi:-)
1070,0,Jus finish bathing...
260,0,I‘m parked next to a MINI!!!! When are you coming in today do you think?
612,0,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me
3128,0,Thats cool. i liked your photos. You are very sexy!
2833,0,Its normally hot mail. Com you see!
5414,0,East coast
4370,0,Anytime lor...
3924,0,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?
4480,0,Erutupalam thandiyachu
879,1,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
3022,0,Am in film ill call you later.
874,0,Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap
2681,0,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant."
1820,0,Dunno dat's wat he told me. Ok lor...
1563,0,Dude just saw a parked car with its sunroof popped up. Sux
917,0,Was actually about to send you a reminder today. Have a wonderful weekend
1403,0,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
382,0,"Yeah sure, give me a couple minutes to track down my wallet"
3469,0,yay! finally lol. i missed our cinema trip last week :-(
4212,0,Oi when you gonna ring
4041,0,I'm at home n ready...
2019,0,Ya it came a while ago
3019,0,I didn't get the second half of that message
2535,0,Ok enjoy . R u there in home.
1690,0,Bring tat cd don forget
2389,0,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. .."
1685,0,Do you want bold 2 or bb torch
1260,0,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
1852,0,Dunno da next show aft 6 is 850. Toa payoh got 650.
2565,0,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
4510,0,Ü takin linear algebra today?
2404,0,Jesus christ bitch I'm trying to give you drugs answer your fucking phone
2434,0,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that "" &lt;#&gt;  lac crore"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m."""
3018,0,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -
376,0,Can you say what happen
5171,0,Oh k. . I will come tomorrow
4509,0,Not able to do anything.
1419,0,Lmao. Take a pic and send it to me.
3043,0,Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?
4263,0,You'll never believe this but i have actually got off at taunton. Wow
1127,0,Not tonight mate. Catching up on some sleep. This is my new number by the way. 
3508,0,"Two fundamentals of cool life: ""Walk, like you are the KING""...! OR ""Walk like you Dont care,whoever is the KING""!... Gud nyt"
3573,0,"Yup, leaving right now, be back soon"
5110,1,You have 1 new message. Please call 08715205273
1773,0,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
3221,0,Its like that hotel dusk game i think. You solve puzzles in a area thing
5554,0,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash
4584,1,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
659,0,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com"
3054,0,Pls send me the correct name da.
3597,0,Good morning princess! Happy New Year!
3258,0,"No, but you told me you were going, before you got drunk!"
4107,0,K then 2marrow are you coming to class.
3781,0,Then ur physics get a-?
1296,0,TELL HER I SAID EAT SHIT.
4897,0,2 and half years i missed your friendship:-)
4780,0,O we cant see if we can join denis and mina? Or does denis want alone time
1271,0,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u.."
2657,0,Feel like trying kadeem again? :V
5270,0,Did u fix the teeth?if not do it asap.ok take care.
2889,0,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?
3247,0,"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens"
3872,0,Yeah my usual guy's out of town but there're definitely people around I know
3457,0,Ok. I.ll do you right later.
131,0,I'm home.
4408,0,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit"
2236,0,"Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtbraindancea comp.ofstuff on aphexs ;abel,u hav2hear it!c u sn xxxx"
4146,0,Lol I would but despite these cramps I like being a girl.
775,0,Just sleeping..and surfing
2774,1,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?
1057,0,Then u drive lor.
1866,0,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.
524,0,"That's very rude, you on campus?"
5159,0,No but the bluray player can
311,0,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
4700,0,Yes fine 
4591,0,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
4346,0,Enjoy urself tmr...
2728,0,Whatsup there. Dont u want to sleep
5526,1,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04
2504,0,Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up
228,0,Hey company elama po mudyadhu.
1238,0,Is ur paper in e morn or aft tmr?
279,0,Just sent it. So what type of food do you like?
1014,0,Just buy a pizza. Meat lovers or supreme. U get to pick.
1010,0,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala"
776,0,Thanks for picking up the trash.
4547,0,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL
3338,0,I AM AT THE GAS STATION. GO THERE.
756,0,So why didnt you holla?
5474,0,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?
3935,0,How come guoyang go n tell her? Then u told her?
5402,0,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx
2812,0,Thinkin about someone is all good. No drugs for that
708,0,Quite late lar... Ard 12 anyway i wun b drivin...
5025,0,Where you. What happen
4660,0,I cant pick the phone right now. Pls send a message
354,0,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
5272,0,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!"
2315,0,Also that chat was awesome but don't make it regular unless you can see her in person
2306,0,Still in the area of the restaurant. Ill try to come back soon
630,1,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
3943,0,She's borderline but yeah whatever.
2373,0,Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?
3102,0,Pathaya enketa maraikara pa'
4630,0,Only saturday and sunday holiday so its very difficult:)
3959,0,So i could kiss and feel you next to me...
1990,0,The basket's gettin full so I might be by tonight
2855,0,Haha... Hope ü can hear the receipt sound... Gd luck!
2998,0,Don know..he is watching film in computer..
2491,0,Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.
3118,0,Now am free call me pa.
1666,0,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
3095,0,Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...
3,0,U dun say so early hor... U c already then say...
5304,0,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.
4968,1,You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill
4600,0,Have you laid your airtel line to rest?
160,1,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
680,0,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.
1330,0,I dont know what to do to come out of this so only am ask questions like this dont mistake me.
2365,0,Ok then no need to tell me anything i am going to sleep good night
5498,0,Why did I wake up on my own &gt;:(
3767,0,Yes.mum lookin strong:)
3148,0,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night
231,0,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
2828,0,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!"
418,1,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
1926,0,We don call like  &lt;#&gt;  times oh. No give us hypertension oh.
519,0,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. "
5417,0,Nope. I just forgot. Will show next week
3671,0,Ok thanx... Take care then...
3934,0,"Playin space poker, u?"
918,0,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
5461,0,Ok i thk i got it. Then u wan me 2 come now or wat?
3878,0,"Sorry sir, i will call you tomorrow.  senthil.hsbc"
2343,1,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D
580,0,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me."
5112,1,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 
3718,0,I'm gonna rip out my uterus.
1592,0,That's my honeymoon outfit. :)
3414,0,Where do you need to go to get it?
1842,0,I am in your office na.
5172,0,"Aight, text me tonight and we'll see what's up"
2051,0,Hi where you. You in home or calicut?
1397,0,Shall i start from hear.
2219,0,Nice talking to you! please dont forget my pix :) i want to see all of you...
2553,0,"Oh fine, I'll be by tonight"
408,0,Hello! Good week? Fancy a drink or something later?
3179,0,K k :-):-) then watch some films.
5010,0,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar"
2216,0,Prabha..i'm soryda..realy..frm heart i'm sory
2185,0,I know a few people I can hit up and fuck to the yes
5064,0,Ok i also wan 2 watch e 9 pm show...
817,0,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up"
491,0,"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card"
1575,0,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.
5243,0,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*
1075,0,Aight ill get on fb in a couple minutes
3345,0,Oh great. I.ll disturb him more so that we can talk.
4180,0,Can ü send me a copy of da report?
1452,0,Ya! when are ü taking ure practical lessons? I start in june..  
69,0,I plane to give on this month end.
3527,0,"HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON, CALL 2MWEN IM BK FRMCLOUD 9! J X"
819,0,Then why you not responding
4507,0,When are you guys leaving?
2837,0,Nice.nice.how is it working?
1003,0,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
3317,0,I know girls always safe and selfish know i got it pa. Thank you. good night.
3556,1,From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost £1.50 min MobcudB more
5369,0,Hi mom we might be back later than  &lt;#&gt; 
1663,1,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL
1179,0,"I'm outside islands, head towards hard rock and you'll run into me"
2678,0,Where in abj are you serving. Are you staying with dad or alone.
3367,0,I am waiting for your call sir.
963,0,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
603,0,Speaking of does he have any cash yet?
484,0,Thank you baby! I cant wait to taste the real thing...
1055,0,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.
1356,0,Convey my regards to him
2165,0,"Nothing really, just making sure everybody's up to speed"
2209,1,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
77,0,I like you peoples very much:) but am very shy pa.
4239,0,Lol wtf random. Btw is that your lunch break
3039,0,You are not bothering me but you have to trust my answers. Pls.
4991,1,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
2784,0,"Just arrived, see you in a couple days &lt;3"
4766,0,if you text on your way to cup stop that should work. And that should be BUS
2569,0,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..
3046,0,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?"
2188,0,Oh god. I'm gonna Google nearby cliffs now.
3030,0,What is your record for one night? :)
266,0,Same. Wana plan a trip sometme then
1730,0,Lol yeah at this point I guess not
1802,0,I wanna watch that movie
3007,0,Also hi wesley how've you been
2498,0,Dai what this da.. Can i send my resume to this id.
3563,0,Still chance there. If you search hard you will get it..let have a try :)
108,0,How would my ip address test that considering my computer isn't a minecraft server
4189,0,Mm umma ask vava also to come tell him can play later together
4835,0,I hope your pee burns tonite.
4517,1,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
4139,0,"Good! No, don‘t need any receipts—well done! (…) Yes, please tell . What‘s her number, i could ring her"
3958,0,Where is that one day training:-)
2807,0,Can a not?
1331,0,"Aight no rush, I'll ask jay"
3624,0,"Damn, poor zac doesn't stand a chance"
5437,0,Am slow in using biola's fne
4737,0,"Not for possession, especially not first offense"
997,0,Yetunde i'm in class can you not run water on it to make it ok. Pls now.
1126,1,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
5296,0,Are u coming to the funeral home
1546,0,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
755,0,Realy sorry-i don't recognise this number and am now confused :) who r u please?! 
3987,0,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
4753,0,Well boy am I glad G wasted all night at applebees for nothing
596,0,I am great! How are you?
4807,0,Call me when u finish then i come n pick u.
2358,0,Okay same with me. Well thanks for the clarification
5289,0,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!
4366,0,Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.
388,0,Mm that time you dont like fun
4261,0,Are you plans with your family set in stone ?
3101,0,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
2177,0,get ready to moan and scream :)
1225,1,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
4592,1,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50
1772,0,Watching tv now. I got new job :)
2316,0,That's significant but dont worry.
1453,0,"That's good, because I need drugs"
3134,0,So no messages. Had food?
239,0,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
916,0,I could ask carlos if we could get more if anybody else can chip in
5190,1,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP
2433,0,Really dun bluff me leh... U sleep early too. Nite...
1517,0,I need to come home and give you some good lovin...
4040,0,I cant pick the phone right now. Pls send a message
1512,0,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?
712,0,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke
1799,0,That one week leave i put know that time. Why.
1883,0,"Sorry, I can't help you on this."
3747,0,I'm not. She lip synced with shangela.
2809,0,Yes princess! I want to catch you with my big strong hands...
5263,0,Pls speak with me. I wont ask anything other then you friendship.
4094,0,"Life is nothing wen v get everything. But ""life is everything wen v miss something "". Real value of people wil be realized only in their absence.... gud mrng"
248,0,Kallis wont bat in 2nd innings.
5070,0,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju)
2227,0,If you have belive me. Come to my home.
38,0,Anything lor... U decide...
3947,0,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch
430,0,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
2905,0,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
3292,0,"I'm not smoking while people use ""wylie smokes too much"" to justify ruining my shit"
4207,0,"Get the door, I'm here"
2215,0,Ok then i'll let him noe later n ask him call u tmr...
3209,0,Oops my phone died and I didn't even know. Yeah I like it better.
3653,0,"Probably not, still going over some stuff here"
1279,0,Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..
3050,0,Lol they don't know about my awesome phone. I could click delete right now if I want.
195,0,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
4875,0,Wat happened to the cruise thing
2269,1,88066 FROM 88066 LOST 3POUND HELP
4604,0,And I don't plan on staying the night but I prolly won't be back til late
2311,1,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+ 
638,0,When ü login dat time... Dad fetching ü home now?
4452,0,"And that is the problem. You walk around in ""julianaland"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad."
3392,0,"I'm in a meeting, call me later at"
4114,0,Thought we could go out for dinner. I'll treat you! Seem ok?
5470,0,I thought slide is enough.
4882,0,When/where do I pick you up
4802,0,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?"
1920,0,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.
2658,0,Dai  &lt;#&gt;  naal eruku.
3042,0,Aight what time you want me to come up?
3490,0,I'm also came to room.
1919,0,Is fujitsu s series lifebook good?
5124,0,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary"
931,0,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
2898,0,Ü collecting ur laptop then going to configure da settings izzit?
688,0,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday."
2239,0,Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is
1343,0,Yeah I'll try to scrounge something up
1193,0,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.
4725,1,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply"
3173,0,Do u still have plumbers tape and a wrench we could borrow?
2354,1,Please CALL 08712402902 immediately as there is an urgent message waiting for you.
5056,0,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?
242,0,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
3646,1,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.
3905,1,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05
4230,0,Have you bookedthe hut? And also your time off? How are you by the way?
3188,0,Howz that persons story
1984,0,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
3665,0,Huh? 6 also cannot? Then only how many mistakes?
2740,0,Are you this much buzy
4373,1,"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!"
1749,0,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)
5017,0,Hey gals...U all wanna meet 4 dinner at nìte? 
